Core Set,Expansion,Compilation/Reprint set,Starter,Un-Set,Supplemental,,,,,,,,,
Set Name,Date Released,Notes,English,Italian,French,German,Spanish,Portuguese,Japanese,Chinese (Trad),Chinese (Simp),Russian,Korean,
Seventh Edition,2001-04-11,Chinese cards have different art. This appears to be the last time art is edited? Definitely not the first http://squt.tripod.com/error8.html,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Apocalypse,2001-06-04,"May 26, 2001 foreign language prelease sanskrit https://scryfall.com/card/ppre/14/%E0%A4%AB%E0%A4%82%E0%A4%97%E0%A4%B2%E0%A5%8D%E0%A4%B6%E0%A4%AE%E0%A5%8D%E0%A4%AC%E0%A5%8D%E0%A4%B2%E0%A4%B0%E0%A5%8D",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Odyssey,2001-10-01,Arabic Stone-Tonuged Basalisk https://scryfall.com/card/ppre/15/%D8%A8%D8%A7%D8%B3%D9%84%D9%92-%D9%84%D9%8A%D8%B3%D9%83-%E2%80%93-%D8%A7%D9%84%D8%AD%D8%AC%D8%B1-%D9%88%D8%A7%D9%84%D9%84%D8%B3%D8%A7%D9%86,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Tormet,2002-02-08,Russian prerelease promo https://scryfall.com/card/ppre/16/ru/%D0%B2%D0%BE%D0%B8%D0%BD-%D0%BB%D0%B0%D0%BA%D0%B2%D0%B0%D1%82%D1%83%D1%81%D0%B0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Judgment,2002-05-27,Hebrew Glory prerelease promo (last foreign language promo card) https://scryfall.com/card/ppre/17/%D7%AA%D7%94%D7%99%D7%9C%D7%94,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Onslaught,2002-10-07,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Legions,2003-02-03,First set where I started to care about the story,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Scourge,2003-05-26,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Set Name,Date Released,Notes,English,Italian,French,German,Spanish,Portuguese,Japanese,Chinese (Trad),Chinese (Simp),Russian,Korean,
Eighth Edition,2003-07-28,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Mirrodin,2003-10-02,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,
Darksteel,2004-02-06,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,
Fifth Dawn,2004-06-04,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,
Champions of Kamigawa,2004-10-01,"""Legendary"" added as a supertype; Japanese mythology and legend themed block.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,
Unhinged,2004-11-20,,Yes,No,No,No,No,No,No,No,No,No,No,
Betrayers of Kamigawa,2005-02-04,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,
Saviors of Kamigawa,2005-05-21,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,
Ninth Edition,2005-07-29,"First set in Russian. All other langauges printed in white border, but Russian in black. Apparently the Russian cards' popularity is part of the reason white borders are no longer used. Russian Shivan Dragon given out for promos instead of the normal Force of Nature. It appears the prerelease Force of Nature might have been in other languages but I can see no photos of them (look more).",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Salvat 2005,Aug 2005/Jan 2006,"""Salvat 2005 is a reprint set only released into the Spanish, French and Italian markets. The cards from the Rats deck were also released in an English version in the UK. The set was distributed in booster packs of twelve cards with (bi-)weekly issues of the collectible Magic Encyclopedia. The cards are white bordered and feature a flying Pegasus as expansion symbol. The cards form ten preconstructed theme decks (12 for the Italian version under the name of Hachette), with the cards of each deck numbered #1 to #60.""",Yes (ish),Yes,Yes,No,Yes,No,No,No,No,No,No,
Ravnica: City of Guilds,2005-10-07,"""Ravnica"" means ""plains"" in some eastern european language and Eastern Europe archecture is seen throughout the art for the set. http://www.starcitygames.com/magic/misc/24645-Return-To-Ravnica-For-Those-Whove-Never-Been.html",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Guildpact,2006-02-03,"""The name is taken from eponymous Hebrew biblical creatures. Nephilim is derived from the Hebrew ‏נָפַל‎ (singular: nephil), “those who cause others to fall”."" https://mtg.gamepedia.com/Nephilim",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Dissension,2006-05-05,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Coldsnap,2006-07-21,"Official website does not list Russian, although there are Russian cards.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Time Spiral,2006-10-06,Time shifted cards were printed in all lanugages,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Planar Chaos,2007-02-02,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Future Sight,2007-05-04,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Tenth Edition,2007-07-13,"Randomly inserted premium cards that didn't have reminder text, some had new flavor text, and alignment was different (Time Stop). These appear to only have been in English. Tokens and marketing cards inserted into packs. (Languages?)",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
Lorwyn,2007-10-12," Irish, English, Welsh, Scottish, and Celtic stories, languages and cultures in both the look and world details of the setting. https://magic.wizards.com/en/articles/archive/taste-2007-09-13",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Morningtide,2008-02-01,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Shadowmoor,2008-05-02,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Eventide,2008-07-25,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Set Name,Date Released,Notes,English,Italian,French,German,Spanish,Portuguese,Japanese,Chinese (Trad),Chinese (Simp),Russian,Korean,
Shards of Alara,2008-10-03,Ajani prerelease supposedly in six languages https://mtg.gamepedia.com/Prerelease_card,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Conflux,2009-02-06,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Alara Reborn,2009-04-30,Premium Foil Boosters (Jan 2010) with cards from every set in block. 15 card backs. All foil. Only English,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Magic 2010,2009-07-17,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Zendikar,2009-10-02,"The packs contained ""Priceless Treasures"" stock from old sets (Alpha - Antiquities) some of which that were signed.  Not mint condition. Only English (sets only had English printings) but were avaliable in all language packs",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Worldwake,2010-02-05,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Rise of the Eldrazi,2010-04-23,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,
Magic 2011,2010-07-16,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
Scars of Mirrodin,2010-10-01,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
Salvat 2011,2011-01-??,Black bordered Spanish only reprint: https://mtg.gamepedia.com/Salvat_2011,No,No,No,No,Yes,No,No,No,No,No,No,
Mirrodin Besieged,2011-02-04,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
New Phyrexia,2011-05-13,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,
Magic 2012,2011-07-15,Return of Korean being printed,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
